User ID,Name,Age,Gender,Area of Residence,Specific Address,Destination Address,Aadhaar Number,Time of Departure,Preferred Mode of Travel,Frequency of Commute in a Week,Occupation,Fellow Commuter Age Preference,Fellow Commuter Gender Preference,Car Owner,Vehicle Details,Average Commute Distance (km),Comfort with Carpooling,Peak Demand,Emergency Contact Number,Incentive Preference,Cost Sharing Preference,index,max_ppl,final rating,Index,Max People in Carpool
U1010,Pooja Tripathi,30,Others,South Mumbai,"29 D Avenue, South Mumbai","72 D Avenue, Central Mumbai",690959171184,11:13,Personal Car,7,Healthcare Worker,Any,Female,False,None,17.07,Very Uncomfortable,True,8208182162.0,Loyalty Points,Equal Split,11.0,3,4,10011.0,2
U1011,Gaurav Mehra,40,Others,North Mumbai,"84 A Street, North Mumbai","15 D Avenue, Navi Mumbai",285545525970,5:00,rickshaw,4,Teacher,Any,Any,True,Hatchback,8.91,Very Comfortable,True,7280674139.0,Cashback,By Distance,12.0,3,4,10012.0,2
U1012,Rohan Thakur,40,Male,Navi Mumbai,"11 D Avenue, Navi Mumbai","14 C Lane, North Mumbai",376504218945,9:21,rickshaw,3,Other,26-35,Any,False,None,27.86,Somewhat Uncomfortable,False,7655403372.0,Loyalty Points,Equal Split,13.0,3,3,10013.0,2
U1013,Pranav Desai,42,Male,North Mumbai,"70 A Street, North Mumbai","58 C Lane, North Mumbai",675793905176,6:42,rickshaw,5,Other,Any,Female,True,Sedan,10.12,Very Uncomfortable,True,9959333067.0,Loyalty Points,Equal Split,14.0,3,5,10014.0,2
U1014,Kiran Jain,28,Male,Navi Mumbai,"23 A Street, Navi Mumbai","15 D Avenue, Navi Mumbai",915274181453,17:25,rickshaw,3,Student,Any,Others,True,Hatchback,15.99,Neutral,False,8475548090.0,Cashback,By Distance,15.0,3,3,10015.0,2
U1015,Mohan Iyer,42,Female,North Mumbai,"60 A Street, North Mumbai","15 D Avenue, Navi Mumbai",937425006720,13:41,Personal Car,5,Student,26-35,Female,True,Hatchback,19.23,Very Comfortable,False,8843405909.0,Discount,Equal Split,16.0,3,5,10016.0,2
U1016,Hitesh Rao,53,Female,Central Mumbai,"5 B Road, Central Mumbai","55 A Street, South Mumbai",748747004071,15:39,Personal Car,1,IT Professional,36-45,Male,False,None,10.27,Very Uncomfortable,True,7002126717.0,Loyalty Points,By Time,17.0,3,4,10017.0,2
U1017,Deepika Saran,30,Female,Central Mumbai,"42 B Road, Central Mumbai","75 A Street, North Mumbai",764877847016,19:58,cab,5,IT Professional,Any,Female,True,SUV,28.56,Neutral,False,9732446841.0,Loyalty Points,By Time,18.0,6,5,10018.0,2
U1018,Dhruv Rastogi,45,Female,Western Suburbs,"41 C Lane, Western Suburbs","15 D Avenue, Navi Mumbai",978171889879,10:21,rickshaw,7,IT Professional,18-25,Any,False,None,11.02,Somewhat Comfortable,True,8060150264.0,Discount,By Distance,19.0,3,4,10019.0,2
U1019,Siddharth Goel,47,Female,South Mumbai,"15 B Road, South Mumbai","19 B Road, South Mumbai",904787961569,20:51,rickshaw,5,Banker,Any,Female,False,None,19.42,Very Uncomfortable,False,9098396011.0,Cashback,By Time,20.0,3,5,10020.0,2
U1020,Pooja Nair,37,Male,Central Mumbai,"92 D Avenue, Central Mumbai","15 D Avenue, Navi Mumbai",397122034528,7:58,Personal Car,7,Student,Any,Any,True,Sedan,29.3,Very Comfortable,True,8472415729.0,Cashback,By Time,21.0,3,5,10021.0,2
U1021,Mukesh Dixit,49,Others,Central Mumbai,"92 B Road, Central Mumbai","15 D Avenue, Navi Mumbai",788632365118,13:30,rickshaw,7,IT Professional,26-35,Others,True,Sedan,3.0,Somewhat Uncomfortable,False,7434349620.0,Discount,By Distance,22.0,3,2,10022.0,2
U1022,Dhruv Goel,50,Female,Navi Mumbai,"87 A Street, Navi Mumbai","15 D Avenue, Navi Mumbai",151350227634,19:53,Personal Car,6,Teacher,18-25,Female,False,None,4.32,Somewhat Uncomfortable,True,9607740909.0,Discount,Equal Split,23.0,3,5,10023.0,2
U1023,Jyoti Agarwal,46,Female,Western Suburbs,"82 C Lane, Western Suburbs","32 C Lane, North Mumbai",529958151761,16:20,taxi,3,Other,36-45,Female,True,SUV,23.13,Somewhat Uncomfortable,False,7610730052.0,Discount,Equal Split,24.0,4,5,10024.0,2
U1024,Rohan Chatterjee,31,Others,Central Mumbai,"43 A Street, Central Mumbai","15 D Avenue, Navi Mumbai",519016427793,9:55,cab,7,Other,18-25,Others,False,None,13.17,Somewhat Comfortable,False,9334019784.0,Discount,Equal Split,25.0,6,5,10025.0,2
U1025,Kiran Chatterjee,35,Female,South Mumbai,"12 C Lane, South Mumbai","33 A Street, North Mumbai",214271214104,9:23,taxi,1,Teacher,46-55,Female,True,SUV,22.02,Very Uncomfortable,False,9744277879.0,Cashback,Equal Split,26.0,4,3,10026.0,2
U1026,Priyanka Patil,53,Male,Navi Mumbai,"8 A Street, Navi Mumbai","15 D Avenue, Navi Mumbai",856251337396,6:33,rickshaw,1,Teacher,18-25,Male,True,SUV,24.09,Very Uncomfortable,False,7693581217.0,Loyalty Points,By Time,27.0,3,5,10027.0,2
U1027,Mohan Das,43,Female,Central Mumbai,"6 D Avenue, Central Mumbai","97 D Avenue, South Mumbai",159105255796,7:07,cab,6,Healthcare Worker,26-35,Female,False,None,23.66,Somewhat Uncomfortable,True,7001090422.0,Cashback,Equal Split,28.0,6,3,10028.0,2
U1028,Prisha Rastogi,58,Others,Navi Mumbai,"53 C Lane, Navi Mumbai","15 D Avenue, Navi Mumbai",452325647655,20:00,Personal Car,4,Teacher,26-35,Male,True,Hatchback,21.04,Neutral,True,8051160434.0,Cashback,Equal Split,29.0,3,5,10029.0,2
U1029,Priyanka Rastogi,53,Others,Western Suburbs,"87 D Avenue, Western Suburbs","69 B Road, Central Mumbai",348462796229,16:00,Personal Car,2,Retail,Any,Any,True,Hatchback,10.36,Very Uncomfortable,True,9935239686.0,Loyalty Points,Equal Split,30.0,3,3,10030.0,2
U1030,Pooja Banerjee,33,Others,Western Suburbs,"21 D Avenue, Western Suburbs","21 C Lane, Western Suburbs",193852512739,16:10,rickshaw,4,Retail,18-25,Male,True,Hatchback,9.12,Somewhat Comfortable,False,8205706089.0,Discount,By Distance,31.0,3,4,10031.0,2
U1031,Vivaan Yadav,18,Others,Western Suburbs,"11 B Road, Western Suburbs","15 D Avenue, Navi Mumbai",708260075789,5:56,cab,4,Teacher,56-60,Any,True,SUV,10.61,Somewhat Comfortable,False,9882253891.0,Loyalty Points,By Distance,32.0,6,4,10032.0,2
U1032,Arjun Mehra,43,Male,Navi Mumbai,"19 B Road, Navi Mumbai","61 B Road, Central Mumbai",558808885461,18:47,taxi,4,Retail,56-60,Any,True,Hatchback,20.44,Somewhat Uncomfortable,False,9141806161.0,Discount,By Distance,33.0,4,3,10033.0,2
U1033,Tanvi Iyer,33,Male,Navi Mumbai,"29 A Street, Navi Mumbai","15 D Avenue, Navi Mumbai",436993873726,18:54,taxi,3,Other,36-45,Female,True,SUV,21.14,Very Comfortable,True,8129070715.0,Cashback,By Distance,34.0,4,4,10034.0,2
U1034,Arjun Bhattacharya,31,Male,Central Mumbai,"7 B Road, Central Mumbai","15 D Avenue, Navi Mumbai",304358623364,19:12,cab,2,IT Professional,56-60,Male,True,SUV,13.94,Somewhat Comfortable,False,8401260938.0,Cashback,By Distance,35.0,6,3,10035.0,2
U1035,Rashmi Singh,38,Female,Western Suburbs,"63 D Avenue, Western Suburbs","15 D Avenue, Navi Mumbai",377531196920,18:33,cab,4,Retail,26-35,Male,True,SUV,14.03,Very Comfortable,False,9088665071.0,Cashback,By Distance,36.0,6,3,10036.0,2
U1036,Aanya Bhattacharya,24,Male,South Mumbai,"4 A Street, South Mumbai","7 B Road, North Mumbai",761910034081,5:15,Personal Car,3,Banker,26-35,Female,True,Hatchback,6.16,Very Comfortable,True,7522876495.0,Cashback,By Distance,37.0,3,4,10037.0,2
U1037,Jyoti Saran,51,Male,South Mumbai,"19 B Road, South Mumbai","54 C Lane, Western Suburbs",487634432047,19:59,rickshaw,2,Other,56-60,Male,False,None,28.43,Neutral,True,7837907648.0,Loyalty Points,Equal Split,38.0,3,4,10038.0,2
U1038,Mukesh Iyer,41,Others,North Mumbai,"60 D Avenue, North Mumbai","64 D Avenue, Central Mumbai",851177296405,11:25,cab,1,Other,56-60,Others,True,Hatchback,22.7,Somewhat Comfortable,True,9669861418.0,Discount,By Time,39.0,6,5,10039.0,2
U1039,Aditya Das,60,Male,Navi Mumbai,"3 D Avenue, Navi Mumbai","99 C Lane, Navi Mumbai",448341251056,5:04,cab,5,Banker,56-60,Female,False,None,3.11,Somewhat Uncomfortable,True,7850803038.0,Discount,By Time,40.0,6,5,10040.0,2
U1040,Radhika Chaudhary,32,Others,Western Suburbs,"15 B Road, Western Suburbs","15 D Avenue, Navi Mumbai",591500198650,12:18,cab,4,Healthcare Worker,26-35,Others,False,None,25.18,Very Uncomfortable,False,7051890799.0,Cashback,By Time,41.0,6,2,10041.0,2
U1041,Pranav Sharma,18,Male,North Mumbai,"84 A Street, North Mumbai","39 C Lane, Central Mumbai",237061718423,12:04,Personal Car,4,Teacher,36-45,Others,False,None,21.03,Somewhat Uncomfortable,False,9460283855.0,Cashback,Equal Split,42.0,3,3,10042.0,2
U1042,Karan Patil,45,Male,Central Mumbai,"61 B Road, Central Mumbai","5 A Street, Navi Mumbai",180378324963,19:45,Personal Car,3,Other,26-35,Female,True,Hatchback,29.57,Very Comfortable,True,9822037656.0,Loyalty Points,By Distance,43.0,3,3,10043.0,2
U1043,Rajesh Saran,47,Female,South Mumbai,"16 D Avenue, South Mumbai","31 B Road, Navi Mumbai",153697229317,12:30,cab,2,Retail,26-35,Any,False,None,12.46,Very Uncomfortable,True,9228094983.0,Cashback,Equal Split,44.0,6,3,10044.0,2
U1044,Siddharth Singh,38,Others,South Mumbai,"90 D Avenue, South Mumbai","33 C Lane, Navi Mumbai",683678635577,7:17,taxi,1,Teacher,18-25,Female,False,None,19.18,Very Comfortable,False,9871770651.0,Discount,Equal Split,45.0,4,5,10045.0,2
U1045,Shivansh Dixit,42,Female,North Mumbai,"26 B Road, North Mumbai","15 D Avenue, Navi Mumbai",899142521297,13:11,Personal Car,2,Other,Any,Others,False,None,15.48,Very Comfortable,False,8562585836.0,Discount,By Distance,46.0,3,4,10046.0,2
U1046,Pranav Tripathi,47,Female,North Mumbai,"56 C Lane, North Mumbai","15 D Avenue, Navi Mumbai",175817622115,15:13,taxi,6,IT Professional,Any,Female,True,SUV,28.91,Very Uncomfortable,True,8846332657.0,Loyalty Points,By Distance,47.0,4,5,10047.0,2
U1047,Siddharth Nair,44,Others,Central Mumbai,"86 A Street, Central Mumbai","14 A Street, South Mumbai",208487739527,9:05,Personal Car,2,Retail,46-55,Others,True,SUV,26.56,Somewhat Uncomfortable,True,8957017582.0,Cashback,By Distance,48.0,3,4,10048.0,2
U1048,Jyoti Chatterjee,27,Others,Navi Mumbai,"60 B Road, Navi Mumbai","79 A Street, Navi Mumbai",382523423656,14:54,taxi,4,Student,36-45,Male,True,Hatchback,13.85,Somewhat Comfortable,True,9194671163.0,Loyalty Points,Equal Split,49.0,4,3,10049.0,2
U1049,Arjun Banerjee,25,Female,North Mumbai,"28 B Road, North Mumbai","15 D Avenue, Navi Mumbai",791220392192,9:35,cab,3,Banker,26-35,Any,False,None,26.39,Very Comfortable,False,7459355701.0,Loyalty Points,By Distance,50.0,6,5,10050.0,2
U1050,Kavya Bose,54,Others,Western Suburbs,"37 C Lane, Western Suburbs","15 D Avenue, Navi Mumbai",127672252583,15:26,cab,1,Retail,56-60,Male,True,SUV,8.45,Neutral,True,8769300472.0,Loyalty Points,By Distance,51.0,6,3,10051.0,2
U1051,Mukesh Goel,30,Others,Central Mumbai,"36 A Street, Central Mumbai","15 D Avenue, Navi Mumbai",183337522633,6:22,Personal Car,6,Teacher,Any,Male,False,None,18.26,Very Uncomfortable,True,9650335400.0,Loyalty Points,By Distance,52.0,3,5,10052.0,2
U1052,Aanya Patil,51,Female,North Mumbai,"60 D Avenue, North Mumbai","25 D Avenue, North Mumbai",478955692305,12:52,rickshaw,4,Teacher,46-55,Others,False,None,16.77,Very Comfortable,False,9926651032.0,Discount,By Distance,53.0,3,2,10053.0,2
U1053,Mukesh Desai,53,Male,Central Mumbai,"1 C Lane, Central Mumbai","68 C Lane, South Mumbai",852766654981,12:01,rickshaw,1,Healthcare Worker,18-25,Others,False,None,26.42,Somewhat Uncomfortable,True,7339476946.0,Loyalty Points,By Time,54.0,3,4,10054.0,2
U1054,Anil Saran,41,Female,North Mumbai,"91 D Avenue, North Mumbai","15 D Avenue, Navi Mumbai",396969340602,8:45,taxi,3,Student,Any,Others,True,Hatchback,6.77,Very Comfortable,False,9265950051.0,Discount,Equal Split,55.0,4,4,10055.0,2
U1055,Vivaan Rao,27,Others,Western Suburbs,"95 C Lane, Western Suburbs","5 A Street, Navi Mumbai",835316228729,8:20,cab,4,Other,26-35,Any,False,None,9.15,Somewhat Comfortable,True,9731685750.0,Loyalty Points,By Time,56.0,6,5,10056.0,2
U1056,Arjun Das,31,Others,Navi Mumbai,"61 C Lane, Navi Mumbai","19 C Lane, South Mumbai",269357499816,11:36,Personal Car,4,IT Professional,26-35,Female,False,None,13.67,Very Uncomfortable,True,9326194335.0,Cashback,By Distance,57.0,3,2,10057.0,2
U1057,Aryan Reddy,41,Male,Western Suburbs,"68 D Avenue, Western Suburbs","89 A Street, North Mumbai",869978058763,9:31,taxi,3,IT Professional,Any,Any,False,None,4.46,Very Uncomfortable,True,9754616607.0,Discount,By Distance,58.0,4,5,10058.0,2
U1058,Rahul Reddy,28,Others,Central Mumbai,"52 D Avenue, Central Mumbai","48 B Road, North Mumbai",882901512665,6:45,taxi,7,IT Professional,46-55,Male,True,SUV,7.27,Very Uncomfortable,True,8974800915.0,Discount,By Distance,59.0,4,4,10059.0,2
U1059,Prisha Bhattacharya,41,Female,South Mumbai,"34 B Road, South Mumbai","15 D Avenue, Navi Mumbai",134497632027,16:29,taxi,7,Other,56-60,Female,False,None,25.17,Neutral,False,7508408561.0,Cashback,By Distance,60.0,4,3,10060.0,2
U1060,Ramesh Reddy,42,Male,Western Suburbs,"8 A Street, Western Suburbs","84 C Lane, North Mumbai",222227121890,15:59,Personal Car,2,Retail,18-25,Male,False,None,21.52,Very Comfortable,True,7894706514.0,Loyalty Points,By Distance,61.0,3,4,10061.0,2
U1061,Mukesh Chaudhary,39,Others,South Mumbai,"42 D Avenue, South Mumbai","92 B Road, Western Suburbs",568195130263,6:54,taxi,3,Healthcare Worker,46-55,Female,True,SUV,14.17,Somewhat Comfortable,True,9274330525.0,Cashback,By Distance,62.0,4,3,10062.0,2
U1062,Siddharth Verma,38,Others,Navi Mumbai,"14 A Street, Navi Mumbai","85 A Street, Navi Mumbai",590973592314,20:06,cab,5,Student,26-35,Female,False,None,29.46,Somewhat Comfortable,True,7009908498.0,Cashback,By Distance,63.0,6,3,10063.0,2
U1063,Yashika Sharma,47,Male,Central Mumbai,"25 D Avenue, Central Mumbai","81 A Street, Central Mumbai",927872838597,14:27,taxi,6,Retail,Any,Female,False,None,22.37,Very Comfortable,True,9543504912.0,Discount,Equal Split,64.0,4,3,10064.0,2
U1064,Rajesh Gupta,41,Female,South Mumbai,"37 D Avenue, South Mumbai","47 A Street, Central Mumbai",715774674817,17:40,taxi,3,Teacher,56-60,Others,False,None,26.87,Very Uncomfortable,False,9961347705.0,Cashback,By Time,65.0,4,4,10065.0,2
U1065,Mohan Chaudhary,27,Others,South Mumbai,"87 B Road, South Mumbai","15 D Avenue, Navi Mumbai",861629261289,13:04,Personal Car,7,Other,18-25,Male,True,Sedan,14.86,Somewhat Uncomfortable,False,9039871401.0,Cashback,By Distance,66.0,3,2,10066.0,2
U1066,Vivaan Bhattacharya,27,Female,Central Mumbai,"64 D Avenue, Central Mumbai","15 D Avenue, Navi Mumbai",872487088732,9:41,taxi,6,Retail,Any,Female,True,SUV,14.39,Very Comfortable,True,7273300992.0,Discount,Equal Split,67.0,4,4,10067.0,2
U1067,Nikhil Chaudhary,47,Male,South Mumbai,"98 C Lane, South Mumbai","23 C Lane, South Mumbai",706883972731,12:46,cab,7,Teacher,26-35,Male,True,Hatchback,4.99,Very Uncomfortable,False,7558998749.0,Cashback,By Distance,68.0,6,3,10068.0,2
U1068,Priyanka Kumar,22,Female,Navi Mumbai,"21 C Lane, Navi Mumbai","62 D Avenue, Navi Mumbai",326442588168,6:13,taxi,2,Retail,Any,Male,True,SUV,6.77,Somewhat Comfortable,True,9528284708.0,Loyalty Points,By Distance,69.0,4,3,10069.0,2
U1069,Rashmi Das,33,Female,Central Mumbai,"30 D Avenue, Central Mumbai","76 C Lane, Western Suburbs",907729717688,5:15,cab,2,Other,56-60,Female,False,None,25.77,Very Comfortable,False,9032068446.0,Cashback,By Time,70.0,6,4,10070.0,2
U1070,Deepika Thakur,28,Others,North Mumbai,"12 D Avenue, North Mumbai","34 D Avenue, Central Mumbai",275214674827,14:37,taxi,2,Retail,18-25,Any,True,Hatchback,16.04,Somewhat Uncomfortable,False,8028282325.0,Discount,By Distance,71.0,4,3,10071.0,2
U1071,Jyoti Singh,22,Male,Central Mumbai,"89 D Avenue, Central Mumbai","15 D Avenue, Navi Mumbai",165358372096,14:21,taxi,4,IT Professional,18-25,Any,False,None,27.33,Somewhat Uncomfortable,True,8371909512.0,Discount,Equal Split,72.0,4,4,10072.0,2
U1072,Pooja Chatterjee,48,Male,Western Suburbs,"34 A Street, Western Suburbs","95 A Street, Central Mumbai",620847705942,11:36,Personal Car,6,IT Professional,18-25,Any,True,Hatchback,8.33,Somewhat Uncomfortable,False,8730765094.0,Cashback,By Distance,73.0,3,4,10073.0,2
U1073,Prisha Banerjee,44,Others,Navi Mumbai,"93 D Avenue, Navi Mumbai","15 D Avenue, Navi Mumbai",135908388860,18:33,cab,7,Student,Any,Any,False,None,25.72,Neutral,False,8478503999.0,Discount,By Time,74.0,6,3,10074.0,2
U1074,Tanvi Bhattacharya,44,Male,South Mumbai,"20 A Street, South Mumbai","15 D Avenue, Navi Mumbai",722135401730,20:36,rickshaw,2,Student,46-55,Female,False,None,15.86,Somewhat Uncomfortable,False,7037642101.0,Loyalty Points,By Distance,75.0,3,5,10075.0,2
U1075,Ritu Dixit,22,Male,South Mumbai,"34 B Road, South Mumbai","30 C Lane, Central Mumbai",946034666730,19:52,cab,5,Other,Any,Male,True,SUV,5.89,Very Comfortable,True,7720586481.0,Discount,Equal Split,76.0,6,2,10076.0,2
U1076,Radhika Rao,19,Male,Western Suburbs,"57 B Road, Western Suburbs","51 D Avenue, Western Suburbs",457334484393,18:34,rickshaw,4,Student,56-60,Others,False,None,3.01,Very Comfortable,True,9428563850.0,Discount,Equal Split,77.0,3,4,10077.0,2
U1077,Nikhil Dixit,24,Male,South Mumbai,"3 C Lane, South Mumbai","52 D Avenue, Navi Mumbai",734085779188,9:49,Personal Car,4,Teacher,36-45,Any,True,Hatchback,21.78,Very Comfortable,True,8753671982.0,Loyalty Points,By Time,78.0,3,3,10078.0,2
U1078,Ritu Saran,45,Others,North Mumbai,"49 C Lane, North Mumbai","92 B Road, Western Suburbs",718072409866,6:00,taxi,6,IT Professional,46-55,Male,False,None,28.6,Neutral,True,8471690915.0,Loyalty Points,Equal Split,79.0,4,4,10079.0,2
U1079,Gaurav Patil,35,Others,North Mumbai,"88 D Avenue, North Mumbai","82 A Street, Central Mumbai",594624095048,11:36,Personal Car,7,Student,36-45,Others,True,Hatchback,18.27,Neutral,True,7300436892.0,Loyalty Points,Equal Split,80.0,3,4,10080.0,2
U1080,Ritu Bhattacharya,46,Female,Navi Mumbai,"14 D Avenue, Navi Mumbai","15 D Avenue, Navi Mumbai",813391835084,12:33,Personal Car,7,Healthcare Worker,Any,Others,False,None,5.23,Very Uncomfortable,False,7024599267.0,Cashback,Equal Split,81.0,3,4,10081.0,2
U1081,Kavya Rastogi,18,Female,Navi Mumbai,"55 A Street, Navi Mumbai","62 D Avenue, Navi Mumbai",575070269366,12:24,taxi,1,Student,Any,Others,False,None,21.34,Very Uncomfortable,True,9634917181.0,Cashback,By Time,82.0,4,4,10082.0,2
U1082,Karan Yadav,51,Male,North Mumbai,"56 A Street, North Mumbai","15 D Avenue, Navi Mumbai",543002419815,11:23,rickshaw,4,Retail,Any,Any,True,SUV,25.17,Very Uncomfortable,False,8390771038.0,Loyalty Points,Equal Split,83.0,3,2,10083.0,2
U1083,Abhinav Verma,46,Female,North Mumbai,"89 C Lane, North Mumbai","15 D Avenue, Navi Mumbai",538852712544,10:03,rickshaw,6,IT Professional,26-35,Male,False,None,17.84,Somewhat Comfortable,True,8227682014.0,Discount,By Time,84.0,3,3,10084.0,2
U1084,Zara Gupta,35,Others,Central Mumbai,"40 D Avenue, Central Mumbai","16 D Avenue, Western Suburbs",606736596667,8:27,taxi,2,Student,46-55,Male,True,SUV,9.65,Very Comfortable,True,9355461606.0,Loyalty Points,By Distance,85.0,4,4,10085.0,2
U1085,Shivansh Banerjee,49,Female,North Mumbai,"14 D Avenue, North Mumbai","91 A Street, South Mumbai",663140136043,6:56,rickshaw,3,Teacher,46-55,Male,True,Hatchback,3.54,Very Comfortable,True,9152080549.0,Loyalty Points,By Time,86.0,3,4,10086.0,2
U1086,Riya Yadav,33,Others,Navi Mumbai,"15 D Avenue, Navi Mumbai","61 B Road, Central Mumbai",998899859770,13:13,cab,5,Student,18-25,Female,False,None,19.23,Very Uncomfortable,False,7478939948.0,Discount,By Time,87.0,6,5,10087.0,2
U1087,Gaurav Mehra,44,Male,Western Suburbs,"34 A Street, Western Suburbs","15 D Avenue, Navi Mumbai",271085032284,14:03,Personal Car,1,Retail,18-25,Male,False,None,24.57,Very Uncomfortable,False,7756773119.0,Discount,By Distance,88.0,3,5,10088.0,2
U1088,Ritu Banerjee,34,Male,Central Mumbai,"16 B Road, Central Mumbai","6 A Street, Navi Mumbai",866376103382,16:38,Personal Car,1,IT Professional,Any,Female,True,SUV,10.07,Somewhat Uncomfortable,True,8935350909.0,Loyalty Points,By Distance,89.0,3,5,10089.0,2
U1089,Rahul Chatterjee,23,Others,North Mumbai,"47 B Road, North Mumbai","15 D Avenue, Navi Mumbai",456542288996,11:05,taxi,3,Other,36-45,Others,True,Hatchback,3.28,Very Comfortable,False,8557874047.0,Loyalty Points,By Distance,90.0,4,4,10090.0,2
U1090,Nikhil Goel,42,Male,Navi Mumbai,"100 B Road, Navi Mumbai","15 D Avenue, Navi Mumbai",968629573658,11:11,cab,6,Other,18-25,Male,False,None,9.65,Somewhat Uncomfortable,True,8011712082.0,Discount,By Distance,91.0,6,5,10091.0,2
U1091,Kiran Desai,21,Others,Western Suburbs,"64 B Road, Western Suburbs","77 B Road, North Mumbai",500845408917,10:09,taxi,4,IT Professional,Any,Any,False,None,18.16,Neutral,True,8619025128.0,Discount,By Time,92.0,4,4,10092.0,2
U1092,Rashmi Reddy,28,Female,South Mumbai,"59 C Lane, South Mumbai","41 C Lane, Navi Mumbai",577792532439,9:55,rickshaw,1,Other,36-45,Male,False,None,19.16,Very Comfortable,True,9768259141.0,Discount,By Distance,93.0,3,3,10093.0,2
U1093,Deepika Patil,26,Female,Central Mumbai,"86 C Lane, Central Mumbai","26 C Lane, South Mumbai",205485729910,14:04,taxi,5,Banker,18-25,Female,False,None,5.98,Somewhat Comfortable,False,8639031117.0,Discount,By Distance,94.0,4,4,10094.0,2
U1094,Shivansh Saran,29,Male,Central Mumbai,"53 B Road, Central Mumbai","27 B Road, South Mumbai",662383571629,20:21,cab,4,Healthcare Worker,56-60,Others,False,None,27.64,Very Uncomfortable,True,7451680394.0,Cashback,By Distance,95.0,6,3,10095.0,2
U1095,Radhika Khanna,52,Others,Western Suburbs,"24 C Lane, Western Suburbs","71 C Lane, North Mumbai",836708864443,8:45,rickshaw,2,Banker,26-35,Male,False,None,6.7,Somewhat Comfortable,True,9985115548.0,Discount,By Time,96.0,3,5,10096.0,2
U1096,Deepika Dixit,31,Others,Navi Mumbai,"26 C Lane, Navi Mumbai","12 A Street, Navi Mumbai",365683904670,6:24,Personal Car,2,Student,18-25,Others,False,None,20.86,Somewhat Uncomfortable,True,8162644287.0,Discount,By Time,97.0,3,4,10097.0,2
U1097,Aarav Das,29,Others,North Mumbai,"53 C Lane, North Mumbai","15 D Avenue, Navi Mumbai",279193023125,11:05,taxi,4,Retail,36-45,Male,False,None,13.43,Very Comfortable,True,7648590866.0,Cashback,By Time,98.0,4,3,10098.0,2
